Gene1	Gene2	Protein1	Protein2
RFC2	RFC4	Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40)	Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)
RFT1	RFT1	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1 (Protein RFT1 homolog)	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1 (Protein RFT1 homolog)
RFX1	SH3BP5L	MHC class II regulatory factor RFX1 (Enhancer factor C) (EF-C) (Regulatory factor X 1) (RFX) (Transcription factor RFX1)	SH3 domain-binding protein 5-like (SH3BP-5-like)
RGP1	RGP1	RAB6A-GEF complex partner protein 2 (Retrograde Golgi transport protein RGP1 homolog)	RAB6A-GEF complex partner protein 2 (Retrograde Golgi transport protein RGP1 homolog)
RGPD1	RGPD3	RANBP2-like and GRIP domain-containing protein 1 (Ran-binding protein 2-like 6) (RanBP2-like 6) (RanBP2L6)	RanBP2-like and GRIP domain-containing protein 3
RGPD2	ZNF660	RANBP2-like and GRIP domain-containing protein 2 (Ran-binding protein 2-like 2) (RanBP2-like 2) (RanBP2L2)	Zinc finger protein 660
RGR	RGR	RPE-retinal G protein-coupled receptor	RPE-retinal G protein-coupled receptor
RGS13	RGS13	Regulator of G-protein signaling 13 (RGS13)	Regulator of G-protein signaling 13 (RGS13)
RGS16	RGS3	Regulator of G-protein signaling 16 (RGS16) (A28-RGS14P) (Retinal-specific RGS) (RGS-r) (hRGS-r) (Retinally abundant regulator of G-protein signaling)	Regulator of G-protein signaling 3 (RGP3) (RGS3)
RGS8	SYNDIG1L	Regulator of G-protein signaling 8 (RGS8)	Synapse differentiation-inducing gene protein 1-like (Capucin) (Dispanin subfamily C member 1) (DSPC1) (Transmembrane protein 90A)
RHBDF2	TTC7A	Inactive rhomboid protein 2 (iRhom2) (Rhomboid 5 homolog 2) (Rhomboid family member 2) (Rhomboid veinlet-like protein 5) (Rhomboid veinlet-like protein 6)	Tetratricopeptide repeat protein 7A (TPR repeat protein 7A)
RHCE	RHD	Blood group Rh(CE) polypeptide (Rh polypeptide 1) (RhPI) (Rh30A) (RhIXB) (Rhesus C/E antigens) (CD antigen CD240CE)	Blood group Rh(D) polypeptide (RHXIII) (Rh polypeptide 2) (RhPII) (Rhesus D antigen) (CD antigen CD240D)
RHEB	SNX3	GTP-binding protein Rheb (EC 3.6.5.-) (Ras homolog enriched in brain)	Sorting nexin-3 (Protein SDP3)
RIF1	RIF1	Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog)	Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog)
RILP	RILP	Rab-interacting lysosomal protein	Rab-interacting lysosomal protein
RIT1	RIT1	GTP-binding protein Rit1 (EC 3.6.5.2) (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1)	GTP-binding protein Rit1 (EC 3.6.5.2) (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1)
RLF	RLF	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)
RLN1	RLN2	Prorelaxin H1 [Cleaved into: Relaxin B chain; Relaxin A chain]	Prorelaxin H2 [Cleaved into: Relaxin B chain; Relaxin A chain]
RNASE2	RNASE3	Non-secretory ribonuclease (EC 4.6.1.18) (Eosinophil-derived neurotoxin) (RNase UpI-2) (Ribonuclease 2) (RNase 2) (Ribonuclease US)	Eosinophil cationic protein (ECP) (EC 3.1.27.-) (Ribonuclease 3) (RNase 3)
RNASEH1	ZDHHC6	Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II)	Palmitoyltransferase ZDHHC6 (EC 2.3.1.225) (Stearoyltransferase ZDHHC6) (EC 2.3.1.-) (Transmembrane protein H4) (Zinc finger DHHC domain-containing protein 6) (DHHC-6) (Zinc finger protein 376)
RNF11	UBL3	RING finger protein 11	Ubiquitin-like protein 3 (Membrane-anchored ubiquitin-fold protein) (HsMUB) (MUB) (Protein HCG-1)
RNF167	SCAMP3	E3 ubiquitin-protein ligase RNF167 (EC 2.3.2.27) (RING finger protein 167)	Secretory carrier-associated membrane protein 3 (Secretory carrier membrane protein 3)
RNF169	SRFBP1	E3 ubiquitin-protein ligase RNF169 (EC 2.3.2.27) (RING finger protein 169) (RING-type E3 ubiquitin transferase RNF169)	Serum response factor-binding protein 1 (SRF-dependent transcription regulation-associated protein) (p49/STRAP)
RNF187	ZNF428	E3 ubiquitin-protein ligase RNF187 (EC 2.3.2.27) (RING domain AP1 coactivator 1) (RACO-1) (RING finger protein 187) (RING-type E3 ubiquitin transferase RNF187)	Zinc finger protein 428 (Enzyme-like protein PIT13)
RNF7	ROMO1	RING-box protein 2 (Rbx2) (EC 2.3.2.27) (EC 2.3.2.32) (CKII beta-binding protein 1) (CKBBP1) (RING finger protein 7) (Regulator of cullins 2) (Sensitive to apoptosis gene protein)	Reactive oxygen species modulator 1 (ROS modulator 1) (Epididymis tissue protein Li 175) (Glyrichin) (Mitochondrial targeting GxxxG motif protein) (MTGM) (Protein MGR2 homolog)
RNH1	RNH1	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Placental RNase inhibitor) (Ribonuclease/angiogenin inhibitor 1) (RAI)
ROBO1	ROBO2	Roundabout homolog 1 (Deleted in U twenty twenty) (H-Robo-1)	Roundabout homolog 2
ROPN1	ROPN1B	Ropporin-1A (Cancer/testis antigen 91) (CT91) (Rhophilin-associated protein 1A)	Ropporin-1B (Rhophilin-associated protein 1B)
RORA	SYNE1	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)	Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)
RP1	RP1	Oxygen-regulated protein 1 (Retinitis pigmentosa 1 protein) (Retinitis pigmentosa RP1 protein)	Oxygen-regulated protein 1 (Retinitis pigmentosa 1 protein) (Retinitis pigmentosa RP1 protein)
RPE65	SLC16A14	Retinoid isomerohydrolase (EC 3.1.1.64) (All-trans-retinyl-palmitate hydrolase) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein) (Retinol isomerase)	Monocarboxylate transporter 14 (MCT 14) (Solute carrier family 16 member 14)
RPEL1	RPEL1	Ribulose-phosphate 3-epimerase-like protein 1 (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase-like protein 1)	Ribulose-phosphate 3-epimerase-like protein 1 (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase-like protein 1)
RPF1	RPF1	Ribosome production factor 1 (Brix domain-containing protein 5) (Ribosome biogenesis protein RPF1)	Ribosome production factor 1 (Brix domain-containing protein 5) (Ribosome biogenesis protein RPF1)
RPL12	RPLP0	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)	Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E)
RPL15	RPS4X	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)
RPL17	RPL3	Large ribosomal subunit protein uL22 (60S ribosomal protein L17) (60S ribosomal protein L23) (PD-1)	Large ribosomal subunit protein uL3 (60S ribosomal protein L3) (HIV-1 TAR RNA-binding protein B) (TARBP-B)
RPL24	SKP1	Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30)	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)
RPL31	RPS12	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	Small ribosomal subunit protein eS12 (40S ribosomal protein S12)
RPS18	RPS9	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)	Small ribosomal subunit protein uS4 (40S ribosomal protein S9)
RRAGB	RRAGD	Ras-related GTP-binding protein B (Rag B) (RagB) (EC 3.6.5.-)	Ras-related GTP-binding protein D (Rag D) (RagD) (EC 3.6.5.-)
RRM1	RRM2B	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)	Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)
RRP1	RRP1	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)
RSPH10B	RSPH10B2	Radial spoke head 10 homolog B	Radial spoke head 10 homolog B2
RTN3	RTN4	Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII)	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)
RXRA	TFEB	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35)
S100A10	TMSB10	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	Thymosin beta-10
S100A14	S100A16	Protein S100-A14 (S100 calcium-binding protein A14) (S114)	Protein S100-A16 (Aging-associated gene 13 protein) (Protein S100-F) (S100 calcium-binding protein A16)
SAA1	SAA2	Serum amyloid A-1 protein (SAA) [Cleaved into: Amyloid protein A (Amyloid fibril protein AA); Serum amyloid protein A(2-104); Serum amyloid protein A(3-104); Serum amyloid protein A(2-103); Serum amyloid protein A(2-102); Serum amyloid protein A(4-101)]	Serum amyloid A-2 protein (SAA2) [Cleaved into: Amyloid A2 protein (AA2)]
SAFB	SAFB2	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	Scaffold attachment factor B2 (SAF-B2)
SAG	SAG	S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin)	S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin)
SAP130	SAP130	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)	Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130)
SAP25	VPS37D	Histone deacetylase complex subunit SAP25 (25 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP25)	Vacuolar protein sorting-associated protein 37D (ESCRT-I complex subunit VPS37D) (Williams-Beuren syndrome chromosomal region 24 protein)
SAT1	SAT1	Diamine acetyltransferase 1 (EC 2.3.1.57) (Polyamine N-acetyltransferase 1) (Putrescine acetyltransferase) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1)	Diamine acetyltransferase 1 (EC 2.3.1.57) (Polyamine N-acetyltransferase 1) (Putrescine acetyltransferase) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1)
SAT2	SAT2	Thialysine N-epsilon-acetyltransferase (EC 2.3.1.-) (Diamine acetyltransferase 2) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase 2) (SSAT-2)	Thialysine N-epsilon-acetyltransferase (EC 2.3.1.-) (Diamine acetyltransferase 2) (EC 2.3.1.57) (Spermidine/spermine N(1)-acetyltransferase 2) (SSAT-2)
SCAP	SCAP	Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)	Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)
SCG2	SCG2	Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin]	Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin]
SCG5	STMN3	Neuroendocrine protein 7B2 (Pituitary polypeptide) (Secretogranin V) (Secretogranin-5) (Secretory granule endocrine protein I) [Cleaved into: N-terminal peptide; C-terminal peptide]	Stathmin-3 (SCG10-like protein)
SCMH1	SSBP2	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	Single-stranded DNA-binding protein 2 (Sequence-specific single-stranded-DNA-binding protein 2)
SCN1B	SCN2B	Sodium channel regulatory subunit beta-1	Sodium channel regulatory subunit beta-2
SCNN1A	SCNN1G	Epithelial sodium channel subunit alpha (Alpha-ENaC) (ENaC subunit alpha) (ENaCA) (Epithelial Na(+) channel subunit alpha) (Alpha-NaCH) (Amiloride-sensitive sodium channel subunit alpha) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA) (Sodium channel epithelial 1 subunit alpha)	Epithelial sodium channel subunit gamma (ENaC subunit gamma) (ENaCG) (Epithelial Na(+) channel subunit gamma) (Gamma-ENaC) (Amiloride-sensitive sodium channel subunit gamma) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG) (Sodium channel epithelial 1 subunit gamma)
SCP2	SCP2	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X)	Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X)
SDE2	USP38	Splicing regulator SDE2 (Replication stress response regulator SDE2)	Ubiquitin carboxyl-terminal hydrolase 38 (EC 3.4.19.12) (Deubiquitinating enzyme 38) (HP43.8KD) (Ubiquitin thioesterase 38) (Ubiquitin-specific-processing protease 38)
SDHA	SDHB	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp) (Malate dehydrogenase [quinone] flavoprotein subunit) (EC 1.1.5.-)	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip) (Malate dehydrogenase [quinone] iron-sulfur subunit) (EC 1.1.5.-)
SEC24C	SEC24D	Protein transport protein Sec24C (SEC24-related protein C)	Protein transport protein Sec24D (SEC24-related protein D)
SELP	SELP	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)
SEMA4F	ZNF189	Semaphorin-4F (Semaphorin-M) (Sema M) (Semaphorin-W) (Sema W)	Zinc finger protein 189
SEMA4G	TRIM65	Semaphorin-4G	E3 ubiquitin-protein ligase TRIM65 (EC 2.3.2.27) (Tripartite motif-containing protein 65)
SERHL2	SERHL2	Serine hydrolase-like protein 2 (EC 3.1.-.-)	Serine hydrolase-like protein 2 (EC 3.1.-.-)
SERPINA11	SERPINA11	Serpin A11	Serpin A11
SERPINB1	SERPINB6	Leukocyte elastase inhibitor (LEI) (Monocyte/neutrophil elastase inhibitor) (EI) (M/NEI) (Peptidase inhibitor 2) (PI-2) (Serpin B1)	Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)
SERPINB3	SERPINB4	Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1) (SCCA-1)	Serpin B4 (Leupin) (Peptidase inhibitor 11) (PI-11) (Squamous cell carcinoma antigen 2) (SCCA-2)
SERPINE1	VTN	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]
SETD1A	WDR82	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1)	WD repeat-containing protein 82
SF1	SF1	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)
SF3A1	SNRPB2	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')
SF3A2	SF3A3	Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62)	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)
SFN	SFN	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)
SFPQ	SON	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3)
SFR1	SWI5	Swi5-dependent recombination DNA repair protein 1 homolog (Meiosis protein 5 homolog)	DNA repair protein SWI5 homolog (HBV DNAPTP1-transactivated protein A) (Protein SAE3 homolog)
SFTPA1	SFTPA2	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)	Pulmonary surfactant-associated protein A2 (PSP-A) (PSPA) (SP-A) (SP-A2) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-5)
SH3BGRL2	SNCA	SH3 domain-binding glutamic acid-rich-like protein 2 (Fovea-associated SH3 domain-binding protein)	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)
SH3BP2	STAB1	SH3 domain-binding protein 2 (3BP-2)	Stabilin-1 (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 1) (FEEL-1) (MS-1 antigen)
SIGLEC12	SIGLEC9	Sialic acid-binding Ig-like lectin 12 (Siglec-12) (Sialic acid-binding Ig-like lectin-like 1) (Siglec-L1)	Sialic acid-binding Ig-like lectin 9 (Siglec-9) (CDw329) (Protein FOAP-9) (CD antigen CD329)
SIGLECL1	SIGLECL1	SIGLEC family-like protein 1	SIGLEC family-like protein 1
SIK2	SIK3	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)
SIPA1L2	USP6NL	Signal-induced proliferation-associated 1-like protein 2 (SIPA1-like protein 2)	USP6 N-terminal-like protein (Related to the N-terminus of tre) (RN-tre)
SIRPB2	SIRPB2	Signal-regulatory protein beta-2 (SIRP-beta-2) (Protein tyrosine phosphatase non-receptor type substrate 1-like 3) (Protein tyrosine phosphatase non-receptor type substrate protein)	Signal-regulatory protein beta-2 (SIRP-beta-2) (Protein tyrosine phosphatase non-receptor type substrate 1-like 3) (Protein tyrosine phosphatase non-receptor type substrate protein)
SIT1	SIT1	Signaling threshold-regulating transmembrane adapter 1 (SHP2-interacting transmembrane adapter protein) (Suppression-inducing transmembrane adapter 1) (gp30/40)	Signaling threshold-regulating transmembrane adapter 1 (SHP2-interacting transmembrane adapter protein) (Suppression-inducing transmembrane adapter 1) (gp30/40)
