Gene1	Gene2	Protein1	Protein2
RAE1	SEC13	mRNA export factor RAE1 (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	Protein SEC13 homolog (GATOR2 complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)
RAET1G	SULT1A2	UL-16 binding protein 5 (Retinoic acid early transcript 1G protein)	Sulfotransferase 1A2 (ST1A2) (EC 2.8.2.1) (Aryl sulfotransferase 2) (Phenol sulfotransferase 2) (Phenol-sulfating phenol sulfotransferase 2) (P-PST 2)
RANBP1	TYMS	Ran-specific GTPase-activating protein (Ran-binding protein 1) (RanBP1)	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
RAP1GAP2	ZFYVE28	Rap1 GTPase-activating protein 2 (Rap1GAP2) (GTPase-activating Rap/Ran-GAP domain-like protein 4)	Lateral signaling target protein 2 homolog (hLst2) (Zinc finger FYVE domain-containing protein 28)
RAP2B	TOR1AIP2	Ras-related protein Rap-2b (EC 3.6.5.2)	Torsin-1A-interacting protein 2, isoform IFRG15 (15 kDa interferon-responsive protein) (IFRG15)
RASAL2	VPS13B	Ras GTPase-activating protein nGAP (RAS protein activator-like 2)	Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1) (Vacuolar protein sorting-associated protein 13B)
RASSF6	SLITRK6	Ras association domain-containing protein 6	SLIT and NTRK-like protein 6
RAX	RAX	Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)	Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)
RB1	TFDP1	Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110)	Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)
RBM42	USP39	RNA-binding protein 42 (RNA-binding motif protein 42)	Ubiquitin carboxyl-terminal hydrolase 39 (EC 3.4.19.12) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein)
RBM47	RREB1	RNA-binding protein 47 (RNA-binding motif protein 47)	Ras-responsive element-binding protein 1 (RREB-1) (Finger protein in nuclear bodies) (Raf-responsive zinc finger protein LZ321) (Zinc finger motif enhancer-binding protein 1) (Zep-1)
RBP2	RBP2	Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II)	Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II)
RBP5	RBP5	Retinol-binding protein 5 (Cellular retinol-binding protein III) (CRBP-III) (HRBPiso)	Retinol-binding protein 5 (Cellular retinol-binding protein III) (CRBP-III) (HRBPiso)
RBP7	TMCC2	Retinoid-binding protein 7 (Cellular retinoic acid-binding protein 4) (CRABP4) (CRBP4) (Cellular retinoic acid-binding protein IV) (CRABP-IV)	Transmembrane and coiled-coil domains protein 2 (Cerebral protein 11)
RECQL	SAMD9	ATP-dependent DNA helicase Q1 (EC 5.6.2.4) (DNA 3'-5' helicase Q1) (DNA helicase, RecQ-like type 1) (RecQ1) (DNA-dependent ATPase Q1) (RecQ protein-like 1)	Sterile alpha motif domain-containing protein 9 (SAM domain-containing protein 9)
REEP5	SERINC1	Receptor expression-enhancing protein 5 (Polyposis locus protein 1) (Protein TB2)	Serine incorporator 1 (Tumor differentially expressed protein 1-like) (Tumor differentially expressed protein 2)
REN	REN	Renin (EC 3.4.23.15) (Angiotensinogenase)	Renin (EC 3.4.23.15) (Angiotensinogenase)
RFC1	RFC4	Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit)	Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)
RFT1	RFT1	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1 (Protein RFT1 homolog)	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1 (Protein RFT1 homolog)
RGP1	RGP1	RAB6A-GEF complex partner protein 2 (Retrograde Golgi transport protein RGP1 homolog)	RAB6A-GEF complex partner protein 2 (Retrograde Golgi transport protein RGP1 homolog)
RGR	RGR	RPE-retinal G protein-coupled receptor	RPE-retinal G protein-coupled receptor
RGS13	RGS13	Regulator of G-protein signaling 13 (RGS13)	Regulator of G-protein signaling 13 (RGS13)
RGS8	SYNDIG1L	Regulator of G-protein signaling 8 (RGS8)	Synapse differentiation-inducing gene protein 1-like (Capucin) (Dispanin subfamily C member 1) (DSPC1) (Transmembrane protein 90A)
RGSL1	ZSCAN10	Regulator of G-protein signaling protein-like	Zinc finger and SCAN domain-containing protein 10 (Zinc finger protein 206)
RHBDF2	TTC7A	Inactive rhomboid protein 2 (iRhom2) (Rhomboid 5 homolog 2) (Rhomboid family member 2) (Rhomboid veinlet-like protein 5) (Rhomboid veinlet-like protein 6)	Tetratricopeptide repeat protein 7A (TPR repeat protein 7A)
RNF17	STK31	RING finger protein 17 (Tudor domain-containing protein 4)	Serine/threonine-protein kinase 31 (EC 2.7.11.1) (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)
RNF19B	TNFRSF10B	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262)
ROBO1	ROBO2	Roundabout homolog 1 (Deleted in U twenty twenty) (H-Robo-1)	Roundabout homolog 2
ROGDI	WDR7	Protein rogdi homolog	WD repeat-containing protein 7 (Rabconnectin-3 beta) (TGF-beta resistance-associated protein TRAG)
RP1	RP1	Oxygen-regulated protein 1 (Retinitis pigmentosa 1 protein) (Retinitis pigmentosa RP1 protein)	Oxygen-regulated protein 1 (Retinitis pigmentosa 1 protein) (Retinitis pigmentosa RP1 protein)
RPA1	RPA3	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3)
RPE65	SLC16A14	Retinoid isomerohydrolase (EC 3.1.1.64) (All-trans-retinyl-palmitate hydrolase) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein) (Retinol isomerase)	Monocarboxylate transporter 14 (MCT 14) (Solute carrier family 16 member 14)
RPEL1	RPEL1	Ribulose-phosphate 3-epimerase-like protein 1 (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase-like protein 1)	Ribulose-phosphate 3-epimerase-like protein 1 (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase-like protein 1)
RRAGB	RRAGD	Ras-related GTP-binding protein B (Rag B) (RagB) (EC 3.6.5.-)	Ras-related GTP-binding protein D (Rag D) (RagD) (EC 3.6.5.-)
RRP8	SUV39H1	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1)
RSBN1	SREK1IP1	Lysine-specific demethylase 9 (KDM9) (EC 1.14.11.-) (Round spermatid basic protein 1)	Protein SREK1IP1 (SFRS12-interacting protein 1) (SREK1-interacting protein 1) (Splicing regulatory protein of 18 kDa) (p18SRP)
S100A8	S100A9	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)
SAG	SAG	S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin)	S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin)
SAMD4A	SIPA1L2	Protein Smaug homolog 1 (Smaug 1) (hSmaug1) (Sterile alpha motif domain-containing protein 4A) (SAM domain-containing protein 4A)	Signal-induced proliferation-associated 1-like protein 2 (SIPA1-like protein 2)
SAMD4B	UBE2Z	Protein Smaug homolog 2 (Smaug 2) (hSmaug2) (Sterile alpha motif domain-containing protein 4B) (SAM domain-containing protein 4B)	Ubiquitin-conjugating enzyme E2 Z (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Z) (Uba6-specific E2 conjugating enzyme 1) (Use1) (Ubiquitin carrier protein Z) (Ubiquitin-protein ligase Z)
SART1	SNRNP27	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein (U4/U6.U5 snRNP 27 kDa protein) (U4/U6.U5-27K) (Nucleic acid-binding protein RY-1) (U4/U6.U5 tri-snRNP-associated 27 kDa protein) (27K) (U4/U6.U5 tri-snRNP-associated protein 3)
SASH1	SRGAP1	SAM and SH3 domain-containing protein 1 (Proline-glutamate repeat-containing protein)	SLIT-ROBO Rho GTPase-activating protein 1 (srGAP1) (Rho GTPase-activating protein 13)
SCAP	SREBF2	Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)	Sterol regulatory element-binding protein 2 (SREBP-2) (Class D basic helix-loop-helix protein 2) (bHLHd2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2 (Transcription factor SREBF2)]
SCG2	SCG2	Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin]	Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin]
SCGB3A2	SFTPB	Secretoglobin family 3A member 2 (Pneumo secretory protein 1) (PnSP-1) (Uteroglobin-related protein 1)	Pulmonary surfactant-associated protein B (SP-B) (18 kDa pulmonary-surfactant protein) (6 kDa protein) (Pulmonary surfactant-associated proteolipid SPL(Phe))
SCN1A	SCN1B	Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)	Sodium channel regulatory subunit beta-1
SCNN1B	SCNN1G	Epithelial sodium channel subunit beta (Beta-ENaC) (ENaC subunit beta) (ENaCB) (Epithelial Na(+) channel subunit beta) (Amiloride-sensitive sodium channel subunit beta) (Beta-NaCH) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)	Epithelial sodium channel subunit gamma (ENaC subunit gamma) (ENaCG) (Epithelial Na(+) channel subunit gamma) (Gamma-ENaC) (Amiloride-sensitive sodium channel subunit gamma) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG) (Sodium channel epithelial 1 subunit gamma)
SCRG1	SLN	Scrapie-responsive protein 1 (Scrapie-responsive gene 1 protein) (ScRG-1)	Sarcolipin
SDC3	TTYH3	Syndecan-3 (SYND3)	Protein tweety homolog 3 (hTTY3) (Volume-regulated anion channel subunit TTYH3)
SDHC	SDHD	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial (Integral membrane protein CII-3) (Malate dehydrogenase [quinone] cytochrome b560 subunit) (QPs-1) (QPs1) (Succinate dehydrogenase complex subunit C) (Succinate-ubiquinone oxidoreductase cytochrome B large subunit) (CYBL)	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial (CybS) (CII-4) (Malate dehydrogenase [quinone] cytochrome b small subunit) (QPs3) (Succinate dehydrogenase complex subunit D) (Succinate-ubiquinone oxidoreductase cytochrome b small subunit) (Succinate-ubiquinone reductase membrane anchor subunit)
SEC24B	SEC24C	Protein transport protein Sec24B (SEC24-related protein B)	Protein transport protein Sec24C (SEC24-related protein C)
SEC61B	SEC61G	Protein transport protein Sec61 subunit beta	Protein transport protein Sec61 subunit gamma
SELP	SELP	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)	P-selectin (CD62 antigen-like family member P) (Granule membrane protein 140) (GMP-140) (Leukocyte-endothelial cell adhesion molecule 3) (LECAM3) (Platelet activation dependent granule-external membrane protein) (PADGEM) (CD antigen CD62P)
SEMA3E	SMOC1	Semaphorin-3E	SPARC-related modular calcium-binding protein 1 (Secreted modular calcium-binding protein 1) (SMOC-1)
SEMA5A	SLC1A2	Semaphorin-5A (Semaphorin-F) (Sema F)	Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2)
SENP6	SETX	Sentrin-specific protease 6 (EC 3.4.22.-) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	Probable helicase senataxin (EC 3.6.4.-) (Amyotrophic lateral sclerosis 4 protein) (SEN1 homolog) (Senataxin)
SERHL2	SERHL2	Serine hydrolase-like protein 2 (EC 3.1.-.-)	Serine hydrolase-like protein 2 (EC 3.1.-.-)
SERPINA11	SERPINA11	Serpin A11	Serpin A11
SERPINE1	VTN	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]
SERPINI2	WDR49	Serpin I2 (Myoepithelium-derived serine protease inhibitor) (Pancpin) (Pancreas-specific protein TSA2004) (Peptidase inhibitor 14) (PI-14)	Cilia- and flagella-associated protein 337
SF1	SRSF10	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)
SF3B3	TADA2B	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)	Transcriptional adapter 2-beta (ADA2-like protein beta) (ADA2-beta)
SFN	SFN	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)
SFXN3	SLFN11	Sideroflexin-3	Schlafen family member 11 (EC 3.1.-.-)
SGPP2	TMEM163	Sphingosine-1-phosphate phosphatase 2 (SPPase2) (Spp2) (hSPP2) (EC 3.1.3.-) (Sphingosine-1-phosphatase 2)	Transmembrane protein 163
SIGLECL1	SIGLECL1	SIGLEC family-like protein 1	SIGLEC family-like protein 1
SIT1	SIT1	Signaling threshold-regulating transmembrane adapter 1 (SHP2-interacting transmembrane adapter protein) (Suppression-inducing transmembrane adapter 1) (gp30/40)	Signaling threshold-regulating transmembrane adapter 1 (SHP2-interacting transmembrane adapter protein) (Suppression-inducing transmembrane adapter 1) (gp30/40)
SKA1	SKA3	SKA complex subunit 1 (Spindle and kinetochore-associated protein 1)	Spindle and kinetochore-associated protein 3
SLC15A3	TMEM127	Solute carrier family 15 member 3 (Osteoclast transporter) (Peptide transporter 3) (Peptide/histidine transporter 2) (hPHT2)	Transmembrane protein 127
SLC17A2	SLC17A2	Sodium-dependent phosphate transport protein 3 (Na(+)/PI cotransporter 3) (Sodium/phosphate cotransporter 3) (Solute carrier family 17 member 2)	Sodium-dependent phosphate transport protein 3 (Na(+)/PI cotransporter 3) (Sodium/phosphate cotransporter 3) (Solute carrier family 17 member 2)
SLC17A7	TYRO3	Vesicular glutamate transporter 1 (VGluT1) (Brain-specific Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 7)	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)
SLC22A10	SLC22A24	Solute carrier family 22 member 10 (Organic anion transporter 5)	Steroid transmembrane transporter SLC22A24 (Solute carrier family 22 member 24)
SLC23A1	SLC23A1	Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3)	Solute carrier family 23 member 1 (Na(+)/L-ascorbic acid transporter 1) (Sodium-dependent vitamin C transporter 1) (hSVCT1) (Yolk sac permease-like molecule 3)
SLC25A39	UBAC1	Mitochondrial glutathione transporter SLC25A39 (Solute carrier family 25 member 39)	Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2)
SLC25A51	TBC1D22B	Mitochondrial nicotinamide adenine dinucleotide transporter SLC25A51 (Mitochondrial NAD(+) transporter SLC25A51) (Mitochondrial carrier triple repeat protein 1) (Solute carrier family 25 member 51)	TBC1 domain family member 22B
SLC26A2	SLC35A3	Sulfate transporter (Diastrophic dysplasia protein) (Solute carrier family 26 member 2)	UDP-N-acetylglucosamine transporter (Golgi UDP-GlcNAc transporter) (Solute carrier family 35 member A3)
SLC3A1	SLC7A9	Amino acid transporter heavy chain SLC3A1 (D2h) (Neutral and basic amino acid transport protein) (NBAT) (Solute carrier family 3 member 1) (b(0,+)-type amino acid transporter-related heavy chain) (rBAT)	b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)
SLC3A2	SLC7A5	Amino acid transporter heavy chain SLC3A2 (4F2 cell-surface antigen heavy chain) (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98)	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)
SLC4A7	USP53	Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7)	Ubiquitin carboxyl-terminal hydrolase 53 (EC 3.4.19.12) (Ubiquitin-specific peptidase 53)
SLC6A5	SLC6A5	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)	Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5)
SLFN5	SLFN5	Schlafen family member 5	Schlafen family member 5
SMAD2	SMAD4	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4)
SMARCA2	SMARCD3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2 (SAMRCA2) (EC 3.6.4.-) (BRG1-associated factor 190B) (BAF190B) (Probable global transcription activator SNF2L2) (Protein brahma homolog) (hBRM) (SNF2-alpha)	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 (60 kDa BRG-1/Brm-associated factor subunit C) (BRG1-associated factor 60C) (BAF60C)
SMC5	SMC6	Structural maintenance of chromosomes protein 5 (SMC protein 5) (SMC-5) (hSMC5)	Structural maintenance of chromosomes protein 6 (SMC protein 6) (SMC-6) (hSMC6)
SMO	SMO	Protein smoothened (Protein Gx)	Protein smoothened (Protein Gx)
SMYD3	WWOX	Histone-lysine N-methyltransferase SMYD3 (EC 2.1.1.354) (SET and MYND domain-containing protein 3) (Zinc finger MYND domain-containing protein 1)	WW domain-containing oxidoreductase (EC 1.1.1.-) (Fragile site FRA16D oxidoreductase) (Short chain dehydrogenase/reductase family 41C member 1)
